,ConfirmedCases,Country_Region,Date,Fatalities,ForecastId,Id,Province_State,country,population,density,fertility,age,urban_percentage,icu,index,state,date,humidity,sunHour,tempC,windspeedKmph,infectionRate
287565,0.0,,2020-01-22,0.0,,32636.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287566,0.0,,2020-01-23,0.0,,32637.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287567,0.0,,2020-01-24,0.0,,32638.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287568,0.0,,2020-01-25,0.0,,32639.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287569,0.0,,2020-01-26,0.0,,32640.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287570,0.0,,2020-01-27,0.0,,32641.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287571,0.0,,2020-01-28,0.0,,32642.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287572,0.0,,2020-01-29,0.0,,32643.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287573,0.0,,2020-01-30,0.0,,32644.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287574,0.0,,2020-01-31,0.0,,32645.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287575,0.0,,2020-02-01,0.0,,32646.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287576,0.0,,2020-02-02,0.0,,32647.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287577,0.0,,2020-02-03,0.0,,32648.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287578,0.0,,2020-02-04,0.0,,32649.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287579,0.0,,2020-02-05,0.0,,32650.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287580,0.0,,2020-02-06,0.0,,32651.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287581,0.0,,2020-02-07,0.0,,32652.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287582,0.0,,2020-02-08,0.0,,32653.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287583,0.0,,2020-02-09,0.0,,32654.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287584,0.0,,2020-02-10,0.0,,32655.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287585,0.0,,2020-02-11,0.0,,32656.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287586,0.0,,2020-02-12,0.0,,32657.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287587,0.0,,2020-02-13,0.0,,32658.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287588,0.0,,2020-02-14,0.0,,32659.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287589,0.0,,2020-02-15,0.0,,32660.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287590,0.0,,2020-02-16,0.0,,32661.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287591,0.0,,2020-02-17,0.0,,32662.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287592,0.0,,2020-02-18,0.0,,32663.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287593,0.0,,2020-02-19,0.0,,32664.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287594,0.0,,2020-02-20,0.0,,32665.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287595,0.0,,2020-02-21,0.0,,32666.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287596,0.0,,2020-02-22,0.0,,32667.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287597,0.0,,2020-02-23,0.0,,32668.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287598,0.0,,2020-02-24,0.0,,32669.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287599,0.0,,2020-02-25,0.0,,32670.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287600,0.0,,2020-02-26,0.0,,32671.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287601,0.0,,2020-02-27,0.0,,32672.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287602,0.0,,2020-02-28,0.0,,32673.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287603,0.0,,2020-02-29,0.0,,32674.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287604,0.0,,2020-03-01,0.0,,32675.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287605,0.0,,2020-03-02,0.0,,32676.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287606,0.0,,2020-03-03,0.0,,32677.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287607,0.0,,2020-03-04,0.0,,32678.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287608,0.0,,2020-03-05,0.0,,32679.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287609,0.0,,2020-03-06,0.0,,32680.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287610,0.0,,2020-03-07,0.0,,32681.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287611,0.0,,2020-03-08,0.0,,32682.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287612,0.0,,2020-03-09,0.0,,32683.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287613,0.0,,2020-03-10,0.0,,32684.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287614,0.0,,2020-03-11,0.0,,32685.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287615,0.0,,2020-03-12,0.0,,32686.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287616,0.0,,2020-03-13,0.0,,32687.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287617,0.0,,2020-03-14,0.0,,32688.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287618,0.0,,2020-03-15,0.0,,32689.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287619,0.0,,2020-03-16,0.0,,32690.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287620,0.0,,2020-03-17,0.0,,32691.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287621,0.0,,2020-03-18,0.0,,32692.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287622,0.0,,2020-03-19,0.0,,32693.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,0.0
287623,1.0,,2020-03-20,0.0,,32694.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,1e-05
287624,3.0,,2020-03-21,0.0,,32695.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,2e-05
287625,3.0,,2020-03-22,0.0,,32696.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,2e-05
287626,3.0,,2020-03-23,1.0,,32697.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,2e-05
287627,3.0,,2020-03-24,1.0,,32698.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,2e-05
287628,3.0,,2020-03-25,1.0,,32699.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,2e-05
287629,3.0,,2020-03-26,1.0,,32700.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,2e-05
287630,5.0,,2020-03-27,1.0,,32701.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,3e-05
287631,7.0,,2020-03-28,1.0,,32702.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,5e-05
287632,7.0,,2020-03-29,1.0,,32703.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,5e-05
287633,7.0,,2020-03-30,1.0,,32704.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,5e-05
287634,8.0,,2020-03-31,1.0,,32705.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,5e-05
287635,8.0,,2020-04-01,1.0,,32706.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,5e-05
287636,9.0,,2020-04-02,1.0,,32707.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,6e-05
287637,9.0,,2020-04-03,1.0,,32708.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,6e-05
287638,9.0,,2020-04-04,1.0,,32709.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,6e-05
287639,9.0,,2020-04-05,1.0,,32710.0,,Zimbabwe,14862924,38,3.6,19.0,0.38,1.7,,,,,,,,6e-05
