id,application_date,segment,case_count
1,2019-07-06,1,2856.9000000000005
2,2019-07-07,1,1746.8333333333333
3,2019-07-08,1,4103.873333333332
4,2019-07-09,1,3536.1200000000003
5,2019-07-10,1,3681.4533333333334
6,2019-07-11,1,3654.3066666666664
7,2019-07-12,1,3660.9733333333334
8,2019-07-13,1,2791.2599999999998
9,2019-07-14,1,1746.2599999999998
10,2019-07-15,1,3912.826666666666
11,2019-07-16,1,3455.7399999999993
12,2019-07-17,1,3646.9666666666667
13,2019-07-18,1,3587.446666666667
14,2019-07-19,1,3558.486666666666
15,2019-07-20,1,2498.5333333333333
16,2019-07-21,1,1648.7933333333335
17,2019-07-22,1,3867.9266666666667
18,2019-07-23,1,3307.193333333334
19,2019-07-24,1,3515.6733333333336
20,2019-07-25,1,3496.8999999999996
21,2019-07-26,1,3512.1266666666666
22,2019-07-27,1,2534.026666666666
23,2019-07-28,1,1648.26
24,2019-07-29,1,3777.9066666666663
25,2019-07-30,1,3390.32
26,2019-07-31,1,5140.08
27,2019-08-01,1,2761.5599999999995
28,2019-08-02,1,2537.8733333333334
29,2019-08-03,1,2463.7933333333335
30,2019-08-04,1,1728.66
31,2019-08-05,1,4196.713333333333
32,2019-08-06,1,3703.926666666667
33,2019-08-07,1,3744.6533333333327
34,2019-08-08,1,3768.1200000000003
35,2019-08-09,1,3682.466666666667
36,2019-08-10,1,2647.06
37,2019-08-11,1,1662.446666666667
38,2019-08-12,1,4034.3400000000006
39,2019-08-13,1,3565.7266666666665
40,2019-08-14,1,3687.5933333333337
41,2019-08-15,1,3568.1733333333336
42,2019-08-16,1,3580.28
43,2019-08-17,1,2845.6266666666666
44,2019-08-18,1,1788.1000000000001
45,2019-08-19,1,4040.4399999999996
46,2019-08-20,1,3499.1066666666666
47,2019-08-21,1,3565.046666666667
48,2019-08-22,1,3528.206666666667
49,2019-08-23,1,3511.72
50,2019-08-24,1,2842.8933333333334
51,2019-08-25,1,1709.4666666666667
52,2019-08-26,1,3874.3600000000006
53,2019-08-27,1,3395.3066666666664
54,2019-08-28,1,3587.9266666666667
55,2019-08-29,1,3612.6200000000003
56,2019-08-30,1,3698.2266666666665
57,2019-08-31,1,3901.233333333333
58,2019-09-01,1,1387.1933333333332
59,2019-09-02,1,3063.8600000000006
60,2019-09-03,1,3864.653333333333
61,2019-09-04,1,3984.279999999999
62,2019-09-05,1,3815.6533333333327
63,2019-09-06,1,3828.8133333333335
64,2019-09-07,1,2698.153333333333
65,2019-09-08,1,1783.3999999999999
66,2019-09-09,1,3949.6200000000003
67,2019-09-10,1,3530.933333333333
68,2019-09-11,1,3763.8599999999997
69,2019-09-12,1,3835.986666666666
70,2019-09-13,1,3756.2200000000007
71,2019-09-14,1,3083.6400000000003
72,2019-09-15,1,2296.9266666666667
73,2019-09-16,1,3866.313333333333
