iter	Logloss
0	0.6925986842
50	0.6668540553
100	0.6429855347
150	0.620784358
200	0.600409056
250	0.5816042448
300	0.5641296788
350	0.548443202
400	0.5335897345
450	0.5196992573
500	0.5069657175
550	0.4950222618
600	0.4840457715
650	0.4737499036
700	0.4642094662
750	0.4553515786
800	0.4471152456
850	0.4393356725
900	0.432028921
950	0.4251978824
1000	0.4188257318
1050	0.4128506711
1100	0.4071653667
1150	0.4017318324
1200	0.3966267234
1250	0.3919187445
1300	0.3873911807
1350	0.3830555966
1400	0.3790319342
1450	0.3751885264
1500	0.3715487028
1550	0.3680256091
1600	0.3646931698
1650	0.3615042435
1700	0.3584491931
1750	0.3554568642
1800	0.3527440523
1850	0.350142228
1900	0.3476497449
1950	0.3451298764
2000	0.3426732917
2050	0.3403192621
2100	0.3380095632
2150	0.3357877229
2200	0.3337067855
2250	0.3317656868
2300	0.3297675685
2350	0.3278898942
2400	0.3260299883
2450	0.3242542869
2500	0.3225230568
2550	0.320915965
2600	0.3193401136
2650	0.3177584196
2700	0.3162278025
2750	0.3147078665
2800	0.313311607
2850	0.3119627501
2900	0.310610199
2950	0.3093130011
3000	0.3080439919
3050	0.3068174262
3100	0.305556729
3150	0.3043588337
3200	0.303207799
3250	0.3020921406
3300	0.3009151258
3350	0.2998124976
3400	0.2987591392
3450	0.2977781597
3500	0.2967760789
3550	0.2957047513
3600	0.2947214227
3650	0.2937865809
3700	0.2928431862
3750	0.2918776663
3800	0.2909597296
3850	0.2900559074
3900	0.2892171358
3950	0.2883899086
4000	0.2875755912
4050	0.2867341694
4100	0.2859462537
4150	0.2851585589
4200	0.2843527744
4250	0.283582065
4300	0.2828744989
4350	0.2821557697
4400	0.281441036
4450	0.2807214034
4500	0.2800426282
4550	0.2793722052
4600	0.2787051151
4650	0.2780400326
4700	0.277355696
4750	0.2766832051
4800	0.2760503267
4850	0.2754358794
4900	0.2747590316
4950	0.2741285826
5000	0.2735088951
5050	0.2728926207
5100	0.2723300332
5150	0.2717613622
5200	0.2711277209
5250	0.2705499749
5300	0.269994555
5350	0.2694641314
5400	0.2689681605
5450	0.2684328782
5500	0.2679401197
5550	0.2674195541
5600	0.2669103121
5650	0.2664092415
5700	0.265903493
5750	0.2654084055
5800	0.264888141
5850	0.2644054212
5900	0.2639533595
5950	0.2634945518
6000	0.2630245811
6050	0.2625038749
6100	0.2620531584
6150	0.261593387
6200	0.2611614227
6250	0.260682357
6300	0.2602649086
6350	0.2598449305
6400	0.2594375008
6450	0.2590083072
6500	0.2585798364
6550	0.2581351431
6600	0.2576931201
6650	0.2572848471
6700	0.256881493
6750	0.2564579211
6800	0.2560529608
6850	0.2556942588
6900	0.2553475631
6950	0.2549446909
7000	0.2545559933
7050	0.2541862488
7100	0.2538043374
7150	0.2534268429
7200	0.2530428435
7250	0.2527093185
7300	0.2523473438
7350	0.2519658139
7400	0.2516688297
7450	0.2513108103
7500	0.2509946522
7550	0.2506592198
7600	0.2503339667
7650	0.2500279878
7700	0.2496681615
7750	0.2493439122
7800	0.2490241201
7850	0.2486995898
7900	0.2483595798
7950	0.2480392858
8000	0.2477337285
8050	0.2474267257
8100	0.2471589339
8150	0.2468653629
8200	0.2465857656
8250	0.2462626608
8300	0.245962665
8350	0.2456598382
8400	0.2453617698
8450	0.2450038107
8500	0.2446935955
8550	0.2443719964
8600	0.2441076981
8650	0.2438264144
8700	0.2435198734
8750	0.2432110234
8800	0.2429448981
8850	0.2426632931
8900	0.2424165826
8950	0.2421598334
9000	0.2418750161
9050	0.2416231256
9100	0.2413378264
9150	0.2410909552
9200	0.2407993919
9250	0.2405439678
9300	0.2402827815
9350	0.2400124399
9400	0.2397220812
9450	0.2394536069
9500	0.2392170956
9550	0.238975043
9600	0.2387395156
9650	0.2385152716
9700	0.2382914091
9750	0.2380630694
9800	0.2378338262
9850	0.2375971945
9900	0.2373395819
9950	0.2370609484
9999	0.236787535
